Datum,Kategorie,Value
01.08.06,Robben,120
01.11.06,Robben,120
01.03.07,Robben,120
19.04.07,hsp,40
01.05.07,Robben,120
07.07.07,date-up,60
14.07.07,date-up,60
28.07.07,date-up,40
04.08.07,date-up,40
11.08.07,date-up,60
18.08.07,date-up,60
06.09.07,Asche Chiesi,85
10.09.07,Asche Chiesi,85
03.11.07,Rossmayer,35
01.03.08,Robben,120
18.07.08,Coaching,20
27.09.08,Coaching,20
03.01.09,Coaching,40
04.06.09,TCH,65
22.06.09,TCH,65
13.08.09,swb,80
21.09.09,swb,80
24.09.09,swb,80
20.10.09,swb,80
06.11.09,swb,80
10.11.09,swb,80
08.12.09,swb,80
31.12.09,Coaching,65
28.06.10,TCH,90
12.07.10,TCH,90
26.07.10,TCH,90
17.08.10,swb,80
23.08.10,TCH,70
09.09.10,HIS,85
26.09.10,TCH,75
27.09.10,swb,80
10.10.10,HIS,75
15.10.10,TCH,70
18.11.10,HIS,75
20.11.10,TCH,75
04.01.11,TCH,70
01.02.11,TCH,70
01.03.11,TCH,70
01.04.11,Erbschaft,100
01.04.11,TCH,70
01.05.11,TCH,70
01.06.11,TCH,70
01.07.11,TCH,70,
01.09.11,TCH,70,
15.09.11,Ende Zusammenarbeit Business,100,
01.10.11,TCH,70,
01.11.11,TCH,70,
01.12.11,TCH,70,
23.03.12,Coaching Wilbert,50,
01.05.12,iPad Projekt,50,Start
22.10.12,iPad Projekt,100,Merzedes
01.12.12,iPad Projekt,60,Ferrero
15.01.12,iPad Projekt,90,
01.04.14,untermStrich,100,
